sample_id,site_name,latitude,longitude,age_BP,richness,shannon_H,evenness,openness,pollen_sum,roc_chord
391294,Lake Ruila,59.175,24.43111,7502.0,7.0,1.5374123145164877,0.7900736399688649,0.014241893076248903,99.99999999999999,0.4340537688950432
391295,Lake Ruila,59.175,24.43111,7821.0,8.0,1.5670201302365288,0.7535773902884726,0.014354066985645933,99.99999999999999,0.20250130768190466
391296,Lake Ruila,59.175,24.43111,8140.0,6.0,1.5387337220370685,0.858783641701641,0.01608325449385052,100.0,0.19650382951624656
391297,Lake Ruila,59.175,24.43111,8502.0,8.0,1.5351300690484484,0.7382415125785762,0.016283524904214558,100.0,0.344379961424025
391298,Lake Ruila,59.175,24.43111,8867.0,8.0,1.4913833090630564,0.7172037680166147,0.02541296060991105,100.00000000000001,0.2333219205172881
391299,Lake Ruila,59.175,24.43111,9232.0,9.0,1.4505418062202515,0.6601700259419088,0.036019810895992786,100.0,0.30830298839950626
391300,Lake Ruila,59.175,24.43111,9597.0,7.0,1.2907987886224175,0.6633393578059426,0.05588295061979272,100.0,0.2671926091789588
391301,Lake Ruila,59.175,24.43111,9708.0,6.0,1.1137514658531928,0.6215965284296955,0.04155124653739613,99.99999999999997,0.0820773972754126
391302,Lake Ruila,59.175,24.43111,9802.0,10.0,1.2275252313742617,0.5331074343828542,0.04408985933235354,100.0,0.03409565170220555
391303,Lake Ruila,59.175,24.43111,9896.0,6.0,1.0052930693084212,0.5610647447793494,0.033857579729139366,99.99999999999999,0.0328433265986471
391304,Lake Ruila,59.175,24.43111,9990.0,10.0,1.2083213898706118,0.5247673119864744,0.061754684838160136,100.0,0.05901801504688928
391305,Lake Ruila,59.175,24.43111,10084.0,8.0,1.3563577292050115,0.6522701898651619,0.11430190818061589,100.00000000000001,0.08749696904985023
391306,Lake Ruila,59.175,24.43111,10178.0,9.0,1.4097536934842676,0.6416065558457236,0.09099616858237548,99.99999999999997,0.2692087099504827
391307,Lake Ruila,59.175,24.43111,10272.0,11.0,1.6102226692008947,0.6715150104623823,0.11609498680738786,100.0,0.20837102644051717
391308,Lake Ruila,59.175,24.43111,10366.0,11.0,1.5752566111075033,0.656933031637016,0.13611902500791387,100.00000000000003,0.3692379145336597
391309,Lake Ruila,59.175,24.43111,10461.0,13.0,1.5272864344659056,0.5954450640606102,0.13293753226639138,100.0,0.13081747455768525
518680,Lake Skogstjern,59.00694,9.63833,37.37374,13.0,2.3243069904352716,0.9061804607072544,0.1648854961832061,100.00000000000001,
518681,Lake Skogstjern,59.00694,9.63833,186.8687,18.0,2.5044294800335862,0.8664731355721879,0.23262032085561493,99.99999999999999,0.2791502657856397
518683,Lake Skogstjern,59.00694,9.63833,336.3636,15.0,2.473295693376379,0.9133123501069946,0.20895522388059698,99.99999999999989,0.23627383576389782
518685,Lake Skogstjern,59.00694,9.63833,485.8586,11.0,2.028085080817198,0.845777171265032,0.035971223021582746,100.0,0.4969231665719583
518682,Lake Skogstjern,59.00694,9.63833,635.3535,11.0,1.9762110985161223,0.8241440403733153,0.05319148936170213,100.0,0.16836874227510124
518686,Lake Skogstjern,59.00694,9.63833,784.8485,14.0,2.38884469462672,0.9051886322511166,0.06317411402157165,99.99999999999994,0.43263306126818085
518684,Lake Skogstjern,59.00694,9.63833,822.2222,15.0,2.272390302108154,0.8391241422272243,0.07761194029850747,100.00000000000001,0.3547740616828172
518687,Lake Skogstjern,59.00694,9.63833,859.5959,13.0,2.2694882523905697,0.8848082110426628,0.08181818181818183,99.99999999999997,0.3446434867646794
518689,Lake Skogstjern,59.00694,9.63833,896.9697,11.0,1.9963932045672834,0.8325606323238087,0.050340136054421766,100.00000000000006,0.2331751500422286
518688,Lake Skogstjern,59.00694,9.63833,934.3434,12.0,1.9801659934053792,0.7968774173365092,0.0379008746355685,99.99999999999993,0.3058080064182275
518690,Lake Skogstjern,59.00694,9.63833,971.7172,10.0,1.8555080423569152,0.8058369039227135,0.02741702741702742,100.0,0.15501178871137666
518691,Lake Skogstjern,59.00694,9.63833,1009.091,13.0,1.9442175037324831,0.7579944992195184,0.027737226277372257,99.99999999999999,0.11666467191488483
518692,Lake Skogstjern,59.00694,9.63833,1046.465,8.0,1.719008331487989,0.8266682650281777,0.010355540214014497,100.00000000000003,0.14018059555104564
518693,Lake Skogstjern,59.00694,9.63833,1083.838,12.0,1.840290507388549,0.7405873808360379,0.03248071457572066,99.99999999999996,0.1559238839512011
518694,Lake Skogstjern,59.00694,9.63833,1121.212,15.0,1.9963032105264369,0.73717363500644,0.042492917847025496,100.0,0.37230078707680847
518695,Lake Skogstjern,59.00694,9.63833,1158.586,14.0,2.128958339316469,0.8067116676191511,0.06564245810055866,99.99999999999997,0.16137145396941974
